username,mentioned_counts
Zeldathons,263
Zelda_king13,115
tweetNorvena,87
DonnaVita4,87
Bonu19RC,87
Oh_Marie1,87
sithlord_zelda,87
MommaTwexy,87
A_Darya79,86
NiaNiam2,82
nerdist,78
KingCarlyle_,73
bonnietylerfan5,73
NadinFrog,73
Paula_McCarlyle,73
Anna55714043,73
UKLCH,70
cat_magic3,66
NGDAverk,60
drecksuser,57
Bee_Zelda,44
Mupf05YT,40
ZeldaUniverse,38
YungGlurak,37
KurzVorAbgrund,36
YungKermit1,34
Mynex_,34
JustVNTY,34
ZeldaDungeon,33
spiegelbro,32
nintendolife,27
DonBauero,25
yflexn0,24
ThiccerWaifus,23
kkamabr,19
_Queuetimes,19
OmarNajam,19
webargentarius,18
Ad2015Pasquino,18
AnnaRagosta,18
Zelda_51,18
joy_zelda,18
robe_marc,18
bb91687509,18
Fata_Turch,18
CristianCar79,18
PowerPlayRPG,18
NintendoAmerica,18
Agricolturabio1,18
roberto2_lamela,17
AntonioSassone7,17
DANZAMPY,17
ChaiKovsky,17
salcinz,17
Ylaylee,16
salfasanop,16
stefano_b_l,16
AuroraBlogspot,15
JVCom,15
AlliCamAllison,14
rbudd913,14
SarahSiren16,14
rumplewrld,14
Antonel56196938,14
zais5,14
ZachariusD,14
abibliophobica,14
Rumple12th,13
OndaCivica_EU,13
YouTube,13
bluepikachu387,12
der__oasch,11
zelda_knuckles,11
Makoto_0322,11
BetterThanOoT,11
ganzseanfresh,11
WizzardOfTime,11
Ganondoodles,10
timuchiiin,10
xFatalHeartz,10
benni995,10
MimiMerlot,10
brustmacher,10
mipha_zelda_,10
linkulinkufigrs,10
HMKilla,10
maliceguardian,9
zockertrottel,9
mitskiIeaks,9
Gemin1Lightning,9
Amelia2325,8
Skeezard,8
HitCockBottom,8
USJ_Official,8
GucciPepe,8
KoboldPress,7
MauriTheEdgehog,7
Courtney_Fay_M,7
ZELDA_1018,7
Syaba_mr_zelda,7
pahnita,7
disco_socialist,7
RobPlayinGames,7
Zelda_BOTW_,7
morispielt,7
RanguGamer,7
BestKindaWorst,7
TheNoirEnigma,7
Nintendeal,6
NintendoGameBot,6
EricRod_LYV,6
AlasdairForbes1,6
elonmusk,6
Chief117Br,6
GifZelda,6
_HavocSnake_,6
little_red_dot,6
JuanderfulJuans,6
paramitapapili0,6
Edson_Ribeiro,6
Dude48592534,5
tonymundinykk,5
ryanblm1234,5
MegaMania0,5
drisunshine_,5
TheJarrodAF,5
xstex,5
TheTonySpade,5
KellySillery,5
walmyrcarvalho,5
