Username,followers,listed_count,degree,mentioned
ShiinaBR,831497,2077,0.000179308,1
MaximumCopeland,38,0,0.000358616,1
omaira_ZELDA,111,1,0.000179308,1
ndrmirr,71,0,0.000358616,1
Jasp3a,67,0,0.000358616,1
nishant_badal,20,0,0.000358616,1
_daisy__,0,0,0.000179308,1
RedPokeTendo,392,0,0.000358616,1
Kili2892,293,3,0.000358616,1
Arbitrary_Hero,573,2,0.000358616,1
ZoraFinz118,159,10,0.000537924,1
Niamh110Lydia,270,4,0.000358616,1
divinedeathboy,210,12,0.000358616,1
MadokaTokisaki,227,4,0.000358616,1
Nomi_Shamoon,157,3,0.000358616,1
RBCAmitojBhogal,15,0,0.000179308,1
HackoruTV,21513,37,0.000179308,1
DatMaxNub,170,7,0.000358616,1
SideShowBatt,72,1,0.000358616,1
retr0greg,338,9,0.000358616,1
sonicjesus1,4585,54,0.000179308,1
Willdogma,377,9,0.000358616,1
WaifusaurusRex,205,5,0.000358616,1
MasterJunior93,1222,38,0.000358616,1
Krushdig,477,22,0.000358616,1
hannahkatelyn49,21,1,0.000358616,1
Eimyxam,37,2,0.000358616,1
SpawnWaveMedia,103023,296,0.000358616,1
dyhptg,1629,17,0.000358616,1
CatlingGun,1263,14,0.000179308,1
Helix13_,2386,8,0.000358616,1
JVera_95,348,10,0.000358616,1
_AdamCarter_,287,1,0.000358616,1
Miss_Kaj24,1017,1,0.000179308,1
Mityr_,20,0,0.000358616,1
WizCoPow,1301,8,0.000358616,1
JohnTheWordsGuy,359,43,0.000358616,1
rokettomusashi,295,2,0.000358616,1
lanceinjapan,93,1,0.000179308,1
CarlosSwiftD,30,1,0.000358616,1
irrelevantpods,151,0,0.000358616,1
twilightocarina,335,8,0.000358616,1
Ze_Holy_Knight,82,1,0.000358616,1
fallnaway,5789,23,0.000358616,1
Hollihoof,160,0,0.000179308,1
W9steve,191,17,0.001434463,1
Scykoh,20656,36,0.000179308,1
PhantomJosh18,137,3,0.000179308,1
vitoriaateixeir,915,0,0.000358616,1
agenlgar,70205,92,0.000179308,1
TheNoodleUdon,148,3,0.000358616,1
theogharbi,237,1,0.000179308,1
StarBats92,144,9,0.000358616,1
Mimikyu_Hawaii,58,1,0.000179308,1
Ghost16062,118,0,0.000358616,1
niadelespacio,113,2,0.000179308,1
