Username,followers,listed_count,degree,mentioned
Zeldathons,6,0,0.04630294328786791,263
Zelda_king13,4231,10,0.012921751615218953,115
tweetNorvena,394,6,0.001615218951902369,87
DonnaVita4,582,5,0.001615218951902369,87
Bonu19RC,235,4,0.001615218951902369,87
Oh_Marie1,343,3,0.001615218951902369,87
sithlord_zelda,127,3,0.001615218951902369,87
MommaTwexy,129,4,0.001615218951902369,87
A_Darya79,148,6,0.004127781765972721,86
NiaNiam2,1212,9,0.0052045944005743,82
nerdist,481964,4772,0.013819095477386936,78
KingCarlyle_,471,6,0.0010768126346015793,73
bonnietylerfan5,380,3,0.0010768126346015793,73
NadinFrog,289,5,0.0010768126346015793,73
Paula_McCarlyle,185,4,0.0010768126346015793,73
Anna55714043,402,5,0.0010768126346015793,73
UKLCH,1006,7,0.004127781765972721,70
cat_magic3,68,3,0.004127781765972721,66
NGDAverk,9308,49,0.0035893754486719313,60
drecksuser,42158,78,0.0068198133524766695,57
Bee_Zelda,4685,43,0.0034099066762383347,44
Mupf05YT,14874,24,0.008255563531945441,40
ZeldaUniverse,220583,890,0.0068198133524766695,38
YungGlurak,19102,29,0.00466618808327351,37
YungKermit1,16207,23,0.0059224694903086865,34
Mynex_,499,0,0.0059224694903086865,34
JustVNTY,27790,27,0.006999282124910266,34
ZeldaDungeon,61222,234,0.0059224694903086865,33
spiegelbro,31424,25,0.008076094759511845,32
nintendolife,253600,2389,0.0035893754486719313,27
DonBauero,1176,8,0.0034099066762383347,25
yflexn0,3268,12,0.005025125628140704,24
ThiccerWaifus,313,0,0.004127781765972721,23
kkamabr,3368,65,0.001615218951902369,19
_Queuetimes,2831,31,0.001615218951902369,19
OmarNajam,5975,68,0.001615218951902369,19
webargentarius,1657,0,0.0017946877243359657,18
Ad2015Pasquino,2375,3,0.0017946877243359657,18
AnnaRagosta,5927,145,0.0017946877243359657,18
Zelda_51,662,1,0.0017946877243359657,18
joy_zelda,6583,5,0.002871500358937545,18
robe_marc,2525,14,0.0017946877243359657,18
bb91687509,3192,9,0.0017946877243359657,18
Fata_Turch,9263,19,0.0017946877243359657,18
CristianCar79,983,3,0.0017946877243359657,18
PowerPlayRPG,525,7,0.002512562814070352,18
NintendoAmerica,11969599,15871,0.0030509691313711416,18
Agricolturabio1,1842,0,0.0017946877243359657,18
roberto2_lamela,1956,3,0.004486719310839914,17
AntonioSassone7,5469,3,0.004486719310839914,17
DANZAMPY,2662,5,0.004486719310839914,17
ChaiKovsky,9869,138,0.002871500358937545,17
salcinz,12507,24,0.004486719310839914,17
Ylaylee,138,0,0.002871500358937545,16
salfasanop,2546,10,0.004486719310839914,16
stefano_b_l,19976,13,0.004486719310839914,16
AuroraBlogspot,72317,329,0.004486719310839914,15
JVCom,1626565,1735,0.0026920315865039484,15
AlliCamAllison,1508,8,0.0010768126346015793,14
rbudd913,1385,21,0.0030509691313711416,14
SarahSiren16,492,3,0.0010768126346015793,14
rumplewrld,332,12,0.0010768126346015793,14
Antonel56196938,206,1,0.0010768126346015793,14
zais5,1150,8,0.0003589375448671931,14
ZachariusD,25101,191,0.0026920315865039484,14
abibliophobica,390,5,0.0010768126346015793,14
Rumple12th,91,2,0.0035893754486719313,13
OndaCivica_EU,1829,2,0.004486719310839914,13
YouTube,74700911,79895,0.002333094041636755,13
bluepikachu387,36,0,0.0003589375448671931,12
zelda_knuckles,21,0,0.001256281407035176,11
Makoto_0322,126,0,0.0003589375448671931,11
BetterThanOoT,73,0,0.0003589375448671931,11
WizzardOfTime,9576,28,0.0021536252692031586,11
Ganondoodles,12659,79,0.0017946877243359657,10
timuchiiin,10,0,0.0014357501794687725,10
xFatalHeartz,2000,7,0.0014357501794687725,10
benni995,52,2,0.0014357501794687725,10
MimiMerlot,3606,49,0.0021536252692031586,10
brustmacher,53,0,0.0014357501794687725,10
mipha_zelda_,239,0,0.0005384063173007897,10
linkulinkufigrs,2307,16,0.0003589375448671931,10
