Username,followers,listed_count,degree,mentioned
Zeldathons,6,0,0.0463029432878679,263
Zelda_king13,4231,10,0.0129217516152189,115
tweetNorvena,394,6,0.0016152189519023,87
DonnaVita4,582,5,0.0016152189519023,87
Bonu19RC,235,4,0.0016152189519023,87
Oh_Marie1,343,3,0.0016152189519023,87
sithlord_zelda,127,3,0.0016152189519023,87
MommaTwexy,129,4,0.0016152189519023,87
A_Darya79,148,6,0.0041277817659727,86
NiaNiam2,1212,9,0.0052045944005743,82
nerdist,481964,4772,0.0138190954773869,78
KingCarlyle_,471,6,0.0010768126346015,73
bonnietylerfan5,380,3,0.0010768126346015,73
NadinFrog,289,5,0.0010768126346015,73
Paula_McCarlyle,185,4,0.0010768126346015,73
Anna55714043,402,5,0.0010768126346015,73
UKLCH,1006,7,0.0041277817659727,70
cat_magic3,68,3,0.0041277817659727,66
NGDAverk,9308,49,0.0035893754486719,60
drecksuser,42158,78,0.0068198133524766,57
Bee_Zelda,4685,43,0.0034099066762383,44
Mupf05YT,14874,24,0.0082555635319454,40
ZeldaUniverse,220583,890,0.0068198133524766,38
YungGlurak,19102,29,0.0046661880832735,37
YungKermit1,16207,23,0.0059224694903086,34
Mynex_,499,0,0.0059224694903086,34
JustVNTY,27790,27,0.0069992821249102,34
ZeldaDungeon,61222,234,0.0059224694903086,33
spiegelbro,31424,25,0.0080760947595118,32
nintendolife,253600,2389,0.0035893754486719,27
DonBauero,1176,8,0.0034099066762383,25
yflexn0,3268,12,0.0050251256281407,24
ThiccerWaifus,313,0,0.0041277817659727,23
kkamabr,3368,65,0.0016152189519023,19
_Queuetimes,2831,31,0.0016152189519023,19
OmarNajam,5975,68,0.0016152189519023,19
webargentarius,1657,0,0.0017946877243359,18
Ad2015Pasquino,2375,3,0.0017946877243359,18
AnnaRagosta,5927,145,0.0017946877243359,18
Zelda_51,662,1,0.0017946877243359,18
joy_zelda,6583,5,0.0028715003589375,18
robe_marc,2525,14,0.0017946877243359,18
bb91687509,3192,9,0.0017946877243359,18
Fata_Turch,9263,19,0.0017946877243359,18
CristianCar79,983,3,0.0017946877243359,18
PowerPlayRPG,525,7,0.0025125628140703,18
NintendoAmerica,11969599,15871,0.0030509691313711,18
Agricolturabio1,1842,0,0.0017946877243359,18
roberto2_lamela,1956,3,0.0044867193108399,17
AntonioSassone7,5469,3,0.0044867193108399,17
DANZAMPY,2662,5,0.0044867193108399,17
ChaiKovsky,9869,138,0.0028715003589375,17
salcinz,12507,24,0.0044867193108399,17
Ylaylee,138,0,0.0028715003589375,16
salfasanop,2546,10,0.0044867193108399,16
stefano_b_l,19976,13,0.0044867193108399,16
AuroraBlogspot,72317,329,0.0044867193108399,15
JVCom,1626565,1735,0.0026920315865039,15
AlliCamAllison,1508,8,0.0010768126346015,14
rbudd913,1385,21,0.0030509691313711,14
SarahSiren16,492,3,0.0010768126346015,14
rumplewrld,332,12,0.0010768126346015,14
Antonel56196938,206,1,0.0010768126346015,14
zais5,1150,8,0.0003589375448671,14
ZachariusD,25101,191,0.0026920315865039,14
abibliophobica,390,5,0.0010768126346015,14
Rumple12th,91,2,0.0035893754486719,13
OndaCivica_EU,1829,2,0.0044867193108399,13
YouTube,74700911,79895,0.0023330940416367,13
bluepikachu387,36,0,0.0003589375448671,12
zelda_knuckles,21,0,0.0012562814070351,11
Makoto_0322,126,0,0.0003589375448671,11
BetterThanOoT,73,0,0.0003589375448671,11
WizzardOfTime,9576,28,0.0021536252692031,11
Ganondoodles,12659,79,0.0017946877243359,10
timuchiiin,10,0,0.0014357501794687,10
xFatalHeartz,2000,7,0.0014357501794687,10
benni995,52,2,0.0014357501794687,10
MimiMerlot,3606,49,0.0021536252692031,10
brustmacher,53,0,0.0014357501794687,10
mipha_zelda_,239,0,0.0005384063173007,10
linkulinkufigrs,2307,16,0.0003589375448671,10
HMKilla,39207,129,0.0014357501794687,10
maliceguardian,3618,129,0.0007178750897343,9
zockertrottel,13,1,0.0041277817659727,9
mitskiIeaks,24716,39,0.0003589375448671,9
Gemin1Lightning,144,5,0.0021536252692031,9
