username,mentionedusers,retweet
RMDCade,,
RMDCade,,
Buster5ive,"[User(username='OnThisDayGaming', id=2954618584, displayname='OnThisDayInGaming', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Skullivan_Bones,,
KdogGaming31,,
WizCoPow,,
ArcturusChusky,,
Doge_This101,,
MrCZAR,"[User(username='Keegmania', id=30797623, displayname='Season’s Keegans', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
ExquisiteRed,,
bluepikachu387,,
Bearman851,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
aIbedokisser,,
CammyWammy0507,,
PEACHVALENTlNE,,
WizardEmu,,
dorepo_toledo,,
BZRich64,"[User(username='jupy314', id=17944020, displayname='🧀𝓙𝓾𝓹𝔂🧀 ✨shop open!✨', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
MarcheX800,,
zeldarp_ebooks,,
galact0sa,"[User(username='SbeveTM', id=1483114598, displayname='Sbeve', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
marmastry,,
GradyTTV,,
tartan_bunny,"[User(username='probablePenguin', id=4117705643, displayname='肉さん', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
clearofthedoors,,
jaymisaeki,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
DanielJFerguson,,
timeforwizards,,
ROneOSix,,
CandlesauceYT,,
cossimon,"[User(username='KAdantchede', id=731988966308761602, displayname='Kelvin Agentk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zelda_daqueen', id=878378417326084097, displayname='freelance.video.editor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
aIbedokisser,,
enaiya_hwh,"[User(username='gaygoroakechi', id=1265664019974758400, displayname='arcade ⚡ ritznation president', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
SeanMccarron46,,
SeanWolfPhillip,,
adventure_rules,,
Vileself,,
max_ellendale,,
LaGranCN,,
NintendoGameBot,,
imscottryan,,
DeMistyB,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
yagolemon,,
marmastry,,
USMC1683,"[User(username='HitCockBottom', id=783094336250482688, displayname='𝕐𝕖𝕝𝕝𝕠𝕨 𝕊𝕟𝕠𝕨', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
GayHorrorGeekCT,,
WEAPONYZ,,
MartieChria,"[User(username='Edson_Ribeiro', id=49684106, displayname='Padre Edson Ribeiro', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='rodrilho', id=617352623, displayname='rodney', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
domodeeb,,
