user_posting_tweet,user_mentioned
RMDCade,RMDCad
RMDCade,RMDCad
Buster5ive,OnThisDayGaming
Skullivan_Bones,Skullivan_Bone
KdogGaming31,KdogGaming3
WizCoPow,WizCoPo
ArcturusChusky,ArcturusChusk
Doge_This101,Doge_This10
MrCZAR,Keegmania
ExquisiteRed,ExquisiteRe
Sarse1994,Tearastar
bluepikachu387,bluepikachu38
Bearman851,Zeldathons
aIbedokisser,aIbedokisse
CammyWammy0507,CammyWammy050
PEACHVALENTlNE,PEACHVALENTlN
WizardEmu,WizardEm
dorepo_toledo,dorepo_toled
BZRich64,jupy314
MarcheX800,MarcheX80
zeldarp_ebooks,zeldarp_ebook
galact0sa,SbeveTM
marmastry,marmastr
GradyTTV,GradyTT
tartan_bunny,probablePenguin
clearofthedoors,clearofthedoor
jaymisaeki,Zeldathons
DanielJFerguson,DanielJFerguso
timeforwizards,timeforwizard
ROneOSix,ROneOSi
CandlesauceYT,CandlesauceY
cossimon,KAdantchede
cossimon,zelda_daqueen
aIbedokisser,aIbedokisse
enaiya_hwh,gaygoroakechi
SeanMccarron46,SeanMccarron4
SeanWolfPhillip,SeanWolfPhilli
adventure_rules,adventure_rule
Vileself,Vilesel
max_ellendale,max_ellendal
LaGranCN,LaGranC
NintendoGameBot,NintendoGameBo
imscottryan,imscottrya
DeMistyB,Zeldathons
yagolemon,yagolemo
marmastry,marmastr
USMC1683,HitCockBottom
GayHorrorGeekCT,GayHorrorGeekC
WEAPONYZ,WEAPONY
MartieChria,Edson_Ribeiro
MartieChria,rodrilho
domodeeb,domodee
Sailorpalutena,Edson_Ribeiro
soupdragon90,mudron
Flooofy_kitten,Flooofy_kitte
LeoTroncoso_2,TonGilli
Mirsanxo,Mirsanx
bvanbelle09,AshPaulsen
indesc_,SharOverHere_
ShayMutant,ShayMutan
minimarker3,PowerPlayRPG
minimarker3,OmarNajam
minimarker3,Bee_Zelda
minimarker3,kkamabr
minimarker3,ChaiKovsky
minimarker3,rbudd913
minimarker3,_Queuetimes
Pink_So1,Pink_So
metal_hera,metal_her
NokePersonal,Yeenmeanmachine
NokePersonal,JuliusUrsus
NokePersonal,omegaro
whydarkel,LegendofZee
DustBucketDX,DustBucketD
yogfan14,Ganondoodles
CandlesauceYT,CandlesauceY
Sailorpalutena,maah_ravilhosa
Sailorpalutena,Edson_Ribeiro
cluewoof,cluewoo
catboytatsuya,catboytatsuy
sCzar86,Zeldathons
FettTag,FettTa
JustinKBrownVO,fallnaway
seraphvenin,seraphveni
proudanddefiant,proudanddefian
forestminish,GifZelda
newsydus,newsydu
Tyranicus,Tyranicu
WimpyWorldwide,Zeldathons
TyrantVicky,TyrantVick
CER10music,nerdist
thiago0sampaio,Deebeegeek26
i2egulus,i2egulu
probablePenguin,probablePengui
Shadowwolf87x,AshPaulsen
hozevho,Edson_Ribeiro
HerielP48,HerielP4
Operator_Death,WizzardOfTime
TheEpicWario,TheEpicWari
DespradoProfnd,vithorjon
HajuOpti,Zelda_king13
NotEcons,NotEcon
Getupkid1284,Getupkid128
Gilbot9000,CauseImDanJones
MuslimShamir,MuslimShami
AnatoneRich,Zeldathons
AverageDeku,AverageDek
