user_posting_tweet,user_mentioned,Type
Bearman851,Zeldathons,0
jaymisaeki,Zeldathons,0
DeMistyB,Zeldathons,0
USMC1683,HitCockBottom,0
minimarker3,PowerPlayRPG,0
minimarker3,OmarNajam,0
minimarker3,Bee_Zelda,0
minimarker3,kkamabr,0
minimarker3,ChaiKovsky,0
minimarker3,rbudd913,0
minimarker3,_Queuetimes,0
yogfan14,Ganondoodles,0
sCzar86,Zeldathons,0
weaponx1974,Zeldathons,0
forestminish,GifZelda,0
WimpyWorldwide,Zeldathons,0
CER10music,nerdist,0
Operator_Death,WizzardOfTime,0
HajuOpti,Zelda_king13,0
AnatoneRich,Zeldathons,0
Cameron08606465,Zeldathons,0
Tea_Leef,nintendolife,0
jadedboardgamer,Zeldathons,0
Cillian_032,nintendolife,0
rymalaise,nerdist,0
tsumetai_akumu,Zeldathons,0
dougyroland,nerdist,0
antonenut,nerdist,0
Guillustrator,nerdist,0
Roopat2784190,spiegelbro,0
Roopat2784190,JustVNTY,0
Roopat2784190,brustmacher,0
Roopat2784190,Mynex_,0
Roopat2784190,benni995,0
Roopat2784190,timuchiiin,0
Roopat2784190,Mupf05YT,0
Roopat2784190,YungGlurak,0
Roopat2784190,Zelda_king13,0
Roopat2784190,morispielt,0
Roopat2784190,YungKermit1,0
Roopat2784190,drecksuser,0
Roopat2784190,zockertrottel,0
Roopat2784190,GucciPepe,0
KaySaravo,GifZelda,0
ddphdhd,nerdist,0
PokeAnimates,Zeldathons,0
Kohen213,ThiccerWaifus,0
TimboSpiraken,nerdist,0
Dzident_,xFatalHeartz,0
Kraklano,ThiccerWaifus,0
GifZelda,GifZelda,1
erik_TLA,Zelda_king13,0
erik_TLA,Mupf05YT,0
erik_TLA,elonmusk,0
VenturousGamer,Zeldathons,0
Cillian_032,nintendolife,0
Kamrom,ThiccerWaifus,0
camel_frost,Zeldathons,0
camel_frost,ZeldaDungeon,0
ElNerdDeSiempre,GifZelda,0
Frootcubes,GifZelda,0
SpectralShedin1,Zeldathons,0
ZackMorrison18,nerdist,0
Moz_Art2,nerdist,0
DausenMoore,PlayStation,0
HylianJayYT,Nintendeal,0
EfejotaRenton,VideojuegosGAME,0
Whomsted_,nerdist,0
verus_alex,Zelda_king13,0
marylena_e,WizzardOfTime,0
tacosdegatos,nerdist,0
TheWigglyPlant,Zeldathons,0
BabetteKD,MimiMerlot,0
BabetteKD,Bee_Zelda,0
TheShaunSmall,Zeldathons,0
ShabihAnwer,Zelda_king13,0
ShabihAnwer,elonmusk,0
vantweetsit,Zelda_king13,0
Mupf05YT,Zelda_king13,0
Mupf05YT,elonmusk,0
erik_TLA,Zelda_king13,0
Kryl3x,Zelda_king13,0
ItsMeAgainHEYY,Zelda_king13,0
PAESAR40,Zelda_king13,0
sech28,Zelda_king13,0
lucky_cat17,ThiccerWaifus,0
StargazerBleu,Zeldathons,0
OrpheusSilver,Zeldathons,0
espi9kakarot,VideojuegosGAME,0
FennexFoxes,ThiccerWaifus,0
Moz_Art2,disco_socialist,0
Donnytofu,nerdist,0
DylanDaGoat05,Zeldathons,0
tuxedobowser,Zeldathons,0
YuuMonMu,Zeldathons,0
ianmcgroober1,Zeldathons,0
happypeep,Zeldathons,0
vcktorius,Zeldathons,0
vcktorius,ZeldaUniverse,0
My_Echo4,Zeldathons,0
ArliciaS,Zeldathons,0
TimersTime,spiegelbro,0
TimersTime,JustVNTY,0
TimersTime,YungGlurak,0
TimersTime,drecksuser,0
TimersTime,Mupf05YT,0
TimersTime,DonBauero,0
TimersTime,YungKermit1,0
TimersTime,Mynex_,0
TimersTime,yflexn0,0
TimersTime,Zelda_king13,0
koenkans,Zeldathons,0
RyabWasHere,Zeldathons,0
julioGz10,Zeldathons,0
julioGz10,ZeldaUniverse,0
NotBrianOk,IGN,0
timid_belle,Zeldathons,0
timid_belle,ZeldaUniverse,0
Nintendeal,Nintendeal,1
ThadiganArtemis,nerdist,0
megaloboxer,Zeldathons,0
megaloboxer,ZeldaUniverse,0
SkuhdlifeProdi,ThiccerWaifus,0
Poxxum,disco_socialist,0
SocialistCoffee,disco_socialist,0
ABetterRed,disco_socialist,0
henri_le_lapin,Zeldathons,0
henri_le_lapin,ZeldaUniverse,0
AlucardsQuest,nintendolife,0
jwie86,Zeldathons,0
Roberto_i0,spiegelbro,0
Roberto_i0,JustVNTY,0
Roberto_i0,YungGlurak,0
Roberto_i0,drecksuser,0
Roberto_i0,Mupf05YT,0
Roberto_i0,DonBauero,0
Roberto_i0,YungKermit1,0
Roberto_i0,Mynex_,0
Roberto_i0,yflexn0,0
Roberto_i0,Zelda_king13,0
psycosulu,Zeldathons,0
TMNTNerds,nerdist,0
morispielt,GucciPepe,0
morispielt,spiegelbro,0
morispielt,JustVNTY,0
morispielt,brustmacher,0
morispielt,Mynex_,0
morispielt,benni995,0
morispielt,timuchiiin,0
morispielt,Mupf05YT,0
morispielt,YungGlurak,0
morispielt,Zelda_king13,0
morispielt,YungKermit1,0
morispielt,drecksuser,0
morispielt,zockertrottel,0
SkunkStarlight,Zeldathons,0
GucciPepe,morispielt,0
GucciPepe,spiegelbro,0
GucciPepe,JustVNTY,0
GucciPepe,brustmacher,0
GucciPepe,Mynex_,0
GucciPepe,benni995,0
GucciPepe,timuchiiin,0
GucciPepe,Mupf05YT,0
GucciPepe,YungGlurak,0
GucciPepe,Zelda_king13,0
GucciPepe,YungKermit1,0
GucciPepe,drecksuser,0
GucciPepe,zockertrottel,0
morispielt,GucciPepe,0
morispielt,spiegelbro,0
morispielt,JustVNTY,0
morispielt,brustmacher,0
morispielt,Mynex_,0
morispielt,benni995,0
morispielt,timuchiiin,0
morispielt,Mupf05YT,0
morispielt,YungGlurak,0
morispielt,Zelda_king13,0
morispielt,YungKermit1,0
morispielt,drecksuser,0
morispielt,zockertrottel,0
GucciPepe,spiegelbro,0
GucciPepe,JustVNTY,0
GucciPepe,brustmacher,0
GucciPepe,Mynex_,0
GucciPepe,benni995,0
GucciPepe,timuchiiin,0
GucciPepe,Mupf05YT,0
GucciPepe,YungGlurak,0
GucciPepe,Zelda_king13,0
GucciPepe,morispielt,0
GucciPepe,YungKermit1,0
GucciPepe,drecksuser,0
GucciPepe,zockertrottel,0
JadzOfAllTrades,Zeldathons,0
andres_edoardo,ZachariusD,0
jedzelex,GifZelda,0
ScanorHelio,RanguGamer,0
ianclarkson,Zeldathons,0
FatTonyX,Zeldathons,0
skelepuzzle,disco_socialist,0
disco_socialist,disco_socialist,1
Alex_Blastfire,Zeldathons,0
Alex_Blastfire,ZeldaUniverse,0
AlucardsQuest,nerdist,0
devbo95482,Zeldathons,0
devbo95482,ZeldaUniverse,0
timotations,Nintendeal,0
Kavin_DDO,YouTube,0
GrillzVonSizzle,Zeldathons,0
wingweaver84,Zeldathons,0
wingweaver84,ZeldaUniverse,0
Atzeloth,Zeldathons,0
nonspecificgen1,nintendolife,0
NoctisBoys,NintendoAmerica,0
RR4mpage,IGN,0
disco_socialist,disco_socialist,1
AshHallock,Zeldathons,0
AshHallock,ZeldaUniverse,0
DislexicPotato,nerdist,0
Bambeatz,xFatalHeartz,0
wndringpilgrm,Zeldathons,0
wndringpilgrm,ZeldaUniverse,0
Shadowlover007,Ylaylee,0
Aron_Todd,HitCockBottom,0
LiminalityCarb,Zeldathons,0
HHyrule88,Zeldathons,0
HHyrule88,ZeldaUniverse,0
DJGames84,WizzardOfTime,0
DominickAshtear,Zeldathons,0
Shadowlover007,Zeldathons,0
fulmetal_asian,ZachariusD,0
oculopolis,nerdist,0
JesusG_Mata,Zeldathons,0
